labTestId:ID,itemId,label,category,unit,:LABEL
lt_50808,50808,Free Calcium,Blood Gas,,LabTest
lt_50826,50826,Tidal Volume,Blood Gas,,LabTest
lt_50813,50813,Lactate,Blood Gas,,LabTest
lt_52029,52029,% Ionized Calcium,Blood Gas,,LabTest
lt_50801,50801,Alveolar-arterial Gradient,Blood Gas,,LabTest
lt_50810,50810,"Hematocrit, Calculated",Blood Gas,,LabTest
lt_52025,52025,Delete,Blood Gas,,LabTest
lt_52031,52031,Osmolality,Blood Gas,,LabTest
lt_52022,52022,"Albumin, Blood",Blood Gas,,LabTest
lt_50806,50806,"Chloride, Whole Blood",Blood Gas,,LabTest
lt_50820,50820,pH,Blood Gas,,LabTest
lt_52028,52028,Hematocrit,Blood Gas,,LabTest
lt_52036,52036,Voided Specimen,Blood Gas,,LabTest
lt_50812,50812,Intubated,Blood Gas,,LabTest
lt_50817,50817,Oxygen Saturation,Blood Gas,,LabTest
lt_52035,52035,Total Calcium,Blood Gas,,LabTest
lt_50823,50823,Required O2,Blood Gas,,LabTest
lt_52024,52024,"Creatinine, Whole Blood",Blood Gas,,LabTest
lt_52037,52037,WB tCO2,Blood Gas,,LabTest
lt_50815,50815,O2 Flow,Blood Gas,,LabTest
lt_52452,52452,"Potassium, Whole Blood",Blood Gas,,LabTest
lt_50804,50804,Calculated Total CO2,Blood Gas,,LabTest
lt_52030,52030,Lithium,Blood Gas,,LabTest
lt_50811,50811,Hemoglobin,Blood Gas,,LabTest
lt_50824,50824,"Sodium, Whole Blood",Blood Gas,,LabTest
lt_52033,52033,Specimen Type,Blood Gas,,LabTest
lt_52027,52027,"Glucose, Whole Blood",Blood Gas,,LabTest
lt_50802,50802,Base Excess,Blood Gas,,LabTest
lt_50814,50814,Methemoglobin,Blood Gas,,LabTest
lt_52034,52034,Total Calcium,Blood Gas,,LabTest
lt_52442,52442,Lactate,Blood Gas,,LabTest
lt_50818,50818,pCO2,Blood Gas,,LabTest
lt_50828,50828,Ventilator,Blood Gas,,LabTest
lt_50809,50809,Glucose,Blood Gas,,LabTest
lt_50821,50821,pO2,Blood Gas,,LabTest
lt_52026,52026,Estimated GFR (MDRD equation),Blood Gas,,LabTest
lt_52434,52434,"Chloride, Whole Blood",Blood Gas,,LabTest
lt_50803,50803,"Calculated Bicarbonate, Whole Blood",Blood Gas,,LabTest
lt_52023,52023,Assist/Control,Blood Gas,,LabTest
lt_50822,50822,"Potassium, Whole Blood",Blood Gas,,LabTest
lt_50827,50827,Ventilation Rate,Blood Gas,,LabTest
lt_52032,52032,P50 of Hemoglobin,Blood Gas,,LabTest
lt_50819,50819,PEEP,Blood Gas,,LabTest
lt_52021,52021,Abz,Blood Gas,,LabTest
lt_50805,50805,Carboxyhemoglobin,Blood Gas,,LabTest
lt_50816,50816,Oxygen,Blood Gas,,LabTest
lt_50825,50825,Temperature,Blood Gas,,LabTest
lt_52455,52455,"Sodium, Whole Blood",Blood Gas,,LabTest
lt_52039,52039,Calculated Bicarbonate,Blood Gas,,LabTest
lt_52042,52042,pO2,Blood Gas,,LabTest
lt_52040,52040,pCO2,Blood Gas,,LabTest
lt_52038,52038,Base Excess,Blood Gas,,LabTest
lt_52041,52041,pH,Blood Gas,,LabTest
lt_52045,52045,"pH, Urine",Blood Gas,,LabTest
lt_52044,52044,"Osmolality, Urine",Blood Gas,,LabTest
lt_52047,52047,"Sodium, Urine",Blood Gas,,LabTest
lt_52046,52046,"Potassium, Urine",Blood Gas,,LabTest
lt_52043,52043,Voided Specimen,Blood Gas,,LabTest
lt_50829,50829,Fluid Type,Blood Gas,,LabTest
lt_50833,50833,Potassium,Blood Gas,,LabTest
lt_50834,50834,"Sodium, Body Fluid",Blood Gas,,LabTest
lt_50832,50832,"pO2, Body Fluid",Blood Gas,,LabTest
lt_50831,50831,pH,Blood Gas,,LabTest
lt_50830,50830,"pCO2, Body Fluid",Blood Gas,,LabTest
lt_50858,50858,Acid Phosphatase,Chemistry,,LabTest
lt_50879,50879,Barbiturate Screen,Chemistry,,LabTest
lt_50900,50900,Carcinoembyronic Antigen (CEA),Chemistry,,LabTest
lt_50914,50914,Cyclosporin,Chemistry,,LabTest
lt_51582,51582,CH50,Chemistry,,LabTest
lt_51615,51615,Epstein-Barr Virus EBNA IgG Ab,Chemistry,,LabTest
lt_51672,51672,Immune Complexes,Chemistry,,LabTest
lt_51685,51685,Lidocaine,Chemistry,,LabTest
lt_51755,51755,White Blood Cells,Chemistry,,LabTest
lt_51773,51773,RFXFRKL,Chemistry,,LabTest
lt_53153,53153,HIV Screen,Chemistry,,LabTest
lt_50925,50925,Folate,Chemistry,,LabTest
lt_50927,50927,Gamma Glutamyltransferase,Chemistry,,LabTest
lt_50953,50953,"Iron Binding Capacity, Total",Chemistry,,LabTest
lt_51007,51007,Uric Acid,Chemistry,,LabTest
lt_51670,51670,Icd9,Chemistry,,LabTest
lt_51740,51740,Toxic Screen,Chemistry,,LabTest
lt_51743,51743,Toxoplasma IgM Ab,Chemistry,,LabTest
lt_51757,51757,Xxx,Chemistry,,LabTest
lt_53146,53146,Anti Hav,Chemistry,,LabTest
lt_50854,50854,Absolute A1c,Chemistry,,LabTest
lt_50887,50887,Blue Top Hold,Chemistry,,LabTest
lt_50945,50945,Homocysteine,Chemistry,,LabTest
lt_50958,50958,Luteinizing Hormone,Chemistry,,LabTest
lt_50993,50993,Thyroid Stimulating Hormone,Chemistry,,LabTest
lt_51557,51557,Anti-Microsomal Antibody,Chemistry,,LabTest
lt_51659,51659,HPE3,Chemistry,,LabTest
lt_51683,51683,"LD, Isoenzyme 4",Chemistry,,LabTest
lt_51693,51693,Mumps IgG Ab,Chemistry,,LabTest
lt_51709,51709,Quantitative RPR Test,Chemistry,,LabTest
lt_51734,51734,STX3,Chemistry,,LabTest
lt_50870,50870,"Anti-Gliadin Antibody, IgA",Chemistry,,LabTest
lt_50979,50979,Red Top Hold,Chemistry,,LabTest
lt_51010,51010,Vitamin B12,Chemistry,,LabTest
lt_50893,50893,"Calcium, Total",Chemistry,,LabTest
lt_50899,50899,Carbamazepine,Chemistry,,LabTest
lt_51567,51567,Beta Hydroxybutyrate,Chemistry,,LabTest
lt_51580,51580,Calculated CK-MB,Chemistry,,LabTest
lt_51629,51629,Fructosamine Plus,Chemistry,,LabTest
lt_51658,51658,HPE2,Chemistry,,LabTest
lt_51681,51681,"LD, Isoenzyme 2",Chemistry,,LabTest
lt_51695,51695,Myoglobin,Chemistry,,LabTest
lt_51724,51724,Rubella IgG Ab,Chemistry,,LabTest
lt_51756,51756,White Blood Cells,Chemistry,,LabTest
lt_50866,50866,Ammonia,Chemistry,,LabTest
lt_50871,50871,Anti-Mitochondrial Antibody,Chemistry,,LabTest
lt_50918,50918,Double Stranded DNA,Chemistry,,LabTest
lt_51625,51625,Free Kappa,Chemistry,,LabTest
lt_51641,51641,Hemoglobin  A,Chemistry,,LabTest
lt_50869,50869,Anti-DGP (IgA/IgG),Chemistry,,LabTest
lt_50936,50936,"HCG, Maternal Screen",Chemistry,,LabTest
lt_50977,50977,Quinidine,Chemistry,,LabTest
lt_50991,50991,Thyroglobulin,Chemistry,,LabTest
lt_51590,51590,CMV Interpretation,Chemistry,,LabTest
lt_51651,51651,Hepatitis C Viral Load,Chemistry,,LabTest
lt_51708,51708,Qnthbsab,Chemistry,,LabTest
lt_53086,53086,Alkaline Phosphatase,Chemistry,,LabTest
lt_50960,50960,Magnesium,Chemistry,,LabTest
lt_51009,51009,Vancomycin,Chemistry,,LabTest
lt_51633,51633,Hbeag,Chemistry,,LabTest
lt_51742,51742,Toxoplasma IgG Ab Value,Chemistry,,LabTest
lt_50915,50915,D-Dimer,Chemistry,,LabTest
lt_50983,50983,Sodium,Chemistry,,LabTest
lt_51589,51589,CMV IgM Ab Value,Chemistry,,LabTest
lt_51597,51597,Cvhlc,Chemistry,,LabTest
lt_51640,51640,Hemoglobin,Chemistry,,LabTest
lt_51660,51660,HPE4,Chemistry,,LabTest
lt_52562,52562,Folate,Chemistry,,LabTest
lt_50917,50917,Digoxin,Chemistry,,LabTest
lt_51569,51569,"Bilirubin, Neonatal, Direct",Chemistry,,LabTest
lt_51729,51729,Serum B12,Chemistry,,LabTest
lt_51732,51732,STX1,Chemistry,,LabTest
lt_52500,52500,Anion Gap,Chemistry,,LabTest
lt_53088,53088,Asparate Aminotransferase,Chemistry,,LabTest
lt_50923,50923,Fax,Chemistry,,LabTest
lt_50926,50926,Follicle Stimulating Hormone,Chemistry,,LabTest
lt_50949,50949,Immunoglobulin A,Chemistry,,LabTest
lt_50965,50965,Parathyroid Hormone,Chemistry,,LabTest
lt_50980,50980,Rheumatoid Factor,Chemistry,,LabTest
lt_50981,50981,Salicylate,Chemistry,,LabTest
lt_50986,50986,tacroFK,Chemistry,,LabTest
lt_51585,51585,Clostrid,Chemistry,,LabTest
lt_51604,51604,Delete,Chemistry,,LabTest
lt_51620,51620,Epstein-Barr Virus VCA IgM Ab,Chemistry,,LabTest
lt_51650,51650,Hepatitis B Virus E Antigen,Chemistry,,LabTest
lt_51686,51686,Lip2,Chemistry,,LabTest
lt_51689,51689,Lyme G and M Value,Chemistry,,LabTest
lt_51710,51710,Rapid Plasma Reagin Test,Chemistry,,LabTest
lt_51741,51741,Toxoplasma IgG Ab,Chemistry,,LabTest
lt_51772,51772,PAN3,Chemistry,,LabTest
lt_50905,50905,"Cholesterol, LDL, Calculated",Chemistry,,LabTest
lt_50928,50928,Gastrin,Chemistry,,LabTest
lt_50948,50948,Immunofixation,Chemistry,,LabTest
lt_50964,50964,"Osmolality, Measured",Chemistry,,LabTest
lt_51634,51634,Hbsag,Chemistry,,LabTest
lt_51657,51657,HPE1,Chemistry,,LabTest
lt_51673,51673,Immunoelectrophoresis,Chemistry,,LabTest
lt_51759,51759,Z,Chemistry,,LabTest
lt_50895,50895,Calculated TBG,Chemistry,,LabTest
lt_51687,51687,Lipo Electrophoresis,Chemistry,,LabTest
lt_51745,51745,Toxoplasma Interpretation,Chemistry,,LabTest
lt_53140,53140,Aldosterone,Chemistry,,LabTest
lt_50997,50997,Tobramycin,Chemistry,,LabTest
lt_51568,51568,"Bilirubin, Neonatal",Chemistry,,LabTest
lt_51577,51577,C5,Chemistry,,LabTest
lt_51592,51592,Conj Bili,Chemistry,,LabTest
lt_51594,51594,"Creatine Kinase, Isoenzyme BB",Chemistry,,LabTest
lt_51602,51602,Delete,Chemistry,,LabTest
lt_51774,51774,RFXHCV,Chemistry,,LabTest
lt_50876,50876,Anti-Smooth Muscle Antibody,Chemistry,,LabTest
lt_50894,50894,Calculated Free Testosterone,Chemistry,,LabTest
lt_50955,50955,Light Green Top Hold,Chemistry,,LabTest
lt_51583,51583,Chol Estr,Chemistry,,LabTest
lt_51700,51700,Np-fx,Chemistry,,LabTest
lt_51713,51713,Reflex Confirmatory Hepatitis C Viral Load,Chemistry,,LabTest
lt_51748,51748,Treponema pallidum (Syphilis) Ab,Chemistry,,LabTest
lt_53150,53150,Anti Hbs,Chemistry,,LabTest
lt_50942,50942,Hepatitis B Virus Core Antibody,Chemistry,,LabTest
lt_50950,50950,Immunoglobulin G,Chemistry,,LabTest
lt_50974,50974,Prostate Specific Antigen,Chemistry,,LabTest
lt_50999,50999,Tricyclic Antidepressant Screen,Chemistry,,LabTest
lt_51004,51004,"UE3, Maternal Screen",Chemistry,,LabTest
lt_51559,51559,Anti-ro,Chemistry,,LabTest
lt_51564,51564,ARCH-1,Chemistry,,LabTest
lt_51596,51596,"Creatine Kinase, Isoenzyme MM",Chemistry,,LabTest
lt_51611,51611,Down Syndrome Risk,Chemistry,,LabTest
lt_51676,51676,Insulin,Chemistry,,LabTest
lt_51749,51749,Treponema pallidum (syphilis) value,Chemistry,,LabTest
lt_50852,50852,% Hemoglobin A1c,Chemistry,,LabTest
lt_50886,50886,Blood Culture Hold,Chemistry,,LabTest
lt_51581,51581,Carotene,Chemistry,,LabTest
lt_51720,51720,Reserved4,Chemistry,,LabTest
lt_51752,51752,Voided Specimen,Chemistry,,LabTest
lt_53144,53144,ANCA Titer,Chemistry,,LabTest
lt_50902,50902,Chloride,Chemistry,,LabTest
lt_50972,50972,Procainamide,Chemistry,,LabTest
lt_50973,50973,Prolactin,Chemistry,,LabTest
lt_50976,50976,"Protein, Total",Chemistry,,LabTest
lt_51560,51560,Anti-SARS-CoV-2 IgA,Chemistry,,LabTest
lt_51613,51613,eAG,Chemistry,,LabTest
lt_51628,51628,Fructosamine,Chemistry,,LabTest
lt_51635,51635,Hbsag,Chemistry,,LabTest
lt_51638,51638,Hematocrit,Chemistry,,LabTest
lt_51712,51712,Referred,Chemistry,,LabTest
lt_51738,51738,Thyroid Binding Globulin,Chemistry,,LabTest
lt_53084,53084,Alanine Aminotransferase,Chemistry,,LabTest
lt_50868,50868,Anion Gap,Chemistry,,LabTest
lt_50874,50874,"Anti-Nuclear Antibody, Titer",Chemistry,,LabTest
lt_50922,50922,Ethanol,Chemistry,,LabTest
lt_50966,50966,Phenobarbital,Chemistry,,LabTest
lt_50998,50998,Transferrin,Chemistry,,LabTest
lt_51637,51637,"HCG, Qualitative",Chemistry,,LabTest
lt_51667,51667,H. pylori IgG Ab Value,Chemistry,,LabTest
lt_51696,51696,Neural Tube Defect Risk,Chemistry,,LabTest
lt_52610,52610,Potassium,Chemistry,,LabTest
lt_50883,50883,"Bilirubin, Direct",Chemistry,,LabTest
lt_51576,51576,C2,Chemistry,,LabTest
lt_51692,51692,"Monospot, Rapid Antigen",Chemistry,,LabTest
lt_51699,51699,Not Done,Chemistry,,LabTest
lt_51761,51761,Zinc,Chemistry,,LabTest
lt_50861,50861,Alanine Aminotransferase (ALT),Chemistry,,LabTest
lt_50863,50863,Alkaline Phosphatase,Chemistry,,LabTest
lt_50881,50881,Beta-2 Microglobulin,Chemistry,,LabTest
lt_50913,50913,Cryoglobulin,Chemistry,,LabTest
lt_51572,51572,Bioavailable Testosterone,Chemistry,,LabTest
lt_51631,51631,Glycated Hemoglobin,Chemistry,,LabTest
lt_51636,51636,"HCG, Multiples of Median",Chemistry,,LabTest
lt_51649,51649,Hepatitis B Virus E Antibody,Chemistry,,LabTest
lt_51767,51767,EE5,Chemistry,,LabTest
lt_50896,50896,Calculated Thyroxine (T4) Index,Chemistry,,LabTest
lt_50930,50930,Globulin,Chemistry,,LabTest
lt_50933,50933,Green Top Hold (plasma),Chemistry,,LabTest
lt_50940,50940,Hepatitis B Surface Antibody,Chemistry,,LabTest
lt_50941,50941,Hepatitis B Surface Antigen,Chemistry,,LabTest
lt_51598,51598,Cytomegalovirus Viral Load,Chemistry,,LabTest
lt_51601,51601,Delete,Chemistry,,LabTest
lt_53129,53129,3t,Chemistry,,LabTest
lt_53137,53137,Afp Mom,Chemistry,,LabTest
lt_51648,51648,Hepatitis B Viral Load,Chemistry,,LabTest
lt_51704,51704,Platelet Count,Chemistry,,LabTest
lt_51735,51735,STX4,Chemistry,,LabTest
lt_51763,51763,EE2,Chemistry,,LabTest
lt_53087,53087,Amylase,Chemistry,,LabTest
lt_53141,53141,Alpha-1,Chemistry,,LabTest
lt_53143,53143,Alpha-2,Chemistry,,LabTest
lt_50865,50865,Amikacin,Chemistry,,LabTest
lt_50885,50885,"Bilirubin, Total",Chemistry,,LabTest
lt_50921,50921,Estradiol,Chemistry,,LabTest
lt_51609,51609,Disopyramide,Chemistry,,LabTest
lt_51617,51617,Epstein-Barr Virus IgM Ab Value,Chemistry,,LabTest
lt_51621,51621,Ethylene Glycol,Chemistry,,LabTest
lt_51623,51623,Fibrinogen,Chemistry,,LabTest
lt_51632,51632,Growth Hormone,Chemistry,,LabTest
lt_51643,51643,Hemoglobin  A2,Chemistry,,LabTest
lt_51664,51664,HPE8,Chemistry,,LabTest
lt_51770,51770,MDRDgfr,Chemistry,,LabTest
lt_52623,52623,Sodium,Chemistry,,LabTest
lt_53128,53128,11-Deoxycorticosterone,Chemistry,,LabTest
lt_50857,50857,Acetone,Chemistry,,LabTest
lt_50907,50907,"Cholesterol, Total",Chemistry,,LabTest
lt_50994,50994,Thyroxine (T4),Chemistry,,LabTest
lt_51005,51005,Uptake Ratio,Chemistry,,LabTest
lt_51575,51575,C1q,Chemistry,,LabTest
lt_51678,51678,L,Chemistry,,LabTest
lt_51725,51725,Rubeola IgG Ab,Chemistry,,LabTest
lt_51726,51726,Rubeola IgG Ab Value,Chemistry,,LabTest
lt_51762,51762,EE1,Chemistry,,LabTest
lt_53142,53142,Alpha-1-antitrypsin,Chemistry,,LabTest
lt_50884,50884,"Bilirubin, Indirect",Chemistry,,LabTest
lt_50931,50931,Glucose,Chemistry,,LabTest
lt_50952,50952,Iron,Chemistry,,LabTest
lt_50968,50968,"Phenytoin, Free",Chemistry,,LabTest
lt_51647,51647,Hemoglobin  S,Chemistry,,LabTest
lt_51680,51680,"LD, Isoenzyme 1",Chemistry,,LabTest
lt_51682,51682,"LD, Isoenzyme 3",Chemistry,,LabTest
lt_51707,51707,Progesterone,Chemistry,,LabTest
lt_51750,51750,"UE3, Multiples of Median",Chemistry,,LabTest
lt_50897,50897,Call,Chemistry,,LabTest
lt_50908,50908,CK-MB Index,Chemistry,,LabTest
lt_50954,50954,Lactate Dehydrogenase (LD),Chemistry,,LabTest
lt_50978,50978,Rapamycin,Chemistry,,LabTest
lt_50984,50984,Stat,Chemistry,,LabTest
lt_51618,51618,Epstein-Barr Virus Interpretation,Chemistry,,LabTest
lt_51690,51690,Lymphocytes,Chemistry,,LabTest
lt_51733,51733,STX2,Chemistry,,LabTest
lt_51751,51751,Uncon Bil,Chemistry,,LabTest
lt_53147,53147,Anti Hbc,Chemistry,,LabTest
lt_53154,53154,Lactate,Chemistry,,LabTest
lt_50860,50860,"AFP, Maternal Screen",Chemistry,,LabTest
lt_50877,50877,Anti-Thyroglobulin Antibodies,Chemistry,,LabTest
lt_51562,51562,Anti-Skin Antibody,Chemistry,,LabTest
lt_51578,51578,C6,Chemistry,,LabTest
lt_51645,51645,"Hemoglobin, Calculated",Chemistry,,LabTest
lt_51669,51669,Htlv Ab,Chemistry,,LabTest
lt_51688,51688,Lyme C6 Ab,Chemistry,,LabTest
lt_51694,51694,Mumps IgG Ab Value,Chemistry,,LabTest
lt_51717,51717,Reserved,Chemistry,,LabTest
lt_51722,51722,RFXLDLM,Chemistry,,LabTest
lt_52569,52569,Glucose,Chemistry,,LabTest
lt_52647,52647,Urea Nitrogen,Chemistry,,LabTest
lt_53094,53094,HBV VL CT,Chemistry,,LabTest
lt_50898,50898,Cancer Antigen 27.29,Chemistry,,LabTest
lt_50904,50904,"Cholesterol, HDL",Chemistry,,LabTest
lt_50946,50946,Human Chorionic Gonadotropin,Chemistry,,LabTest
lt_50971,50971,Potassium,Chemistry,,LabTest
lt_50975,50975,Protein Electrophoresis,Chemistry,,LabTest
lt_51000,51000,Triglycerides,Chemistry,,LabTest
lt_51573,51573,Bromide,Chemistry,,LabTest
lt_51610,51610,Dlta Bili,Chemistry,,LabTest
lt_51612,51612,Dr. X,Chemistry,,LabTest
lt_51627,51627,Free Lambda,Chemistry,,LabTest
lt_51656,51656,Hlap,Chemistry,,LabTest
lt_53096,53096,"Protein, Total",Chemistry,,LabTest
lt_50882,50882,Bicarbonate,Chemistry,,LabTest
lt_50888,50888,Blue Top Hold Frozen,Chemistry,,LabTest
lt_50901,50901,Centromere,Chemistry,,LabTest
lt_50992,50992,Thyroid Peroxidase Antibodies,Chemistry,,LabTest
lt_51566,51566,Beta,Chemistry,,LabTest
lt_51584,51584,Chylomicrons,Chemistry,,LabTest
lt_51599,51599,D,Chemistry,,LabTest
lt_51744,51744,Toxoplasma IgM Ab Value,Chemistry,,LabTest
lt_50890,50890,C3,Chemistry,,LabTest
lt_50916,50916,DHEA-Sulfate,Chemistry,,LabTest
lt_50935,50935,Haptoglobin,Chemistry,,LabTest
lt_51593,51593,Copper,Chemistry,,LabTest
lt_51606,51606,Digitoxin,Chemistry,,LabTest
lt_51668,51668,Hsap,Chemistry,,LabTest
lt_53138,53138,(Albumin),Chemistry,,LabTest
lt_50864,50864,Alpha-Fetoprotein,Chemistry,,LabTest
lt_50938,50938,Hepatitis A Virus IgM Antibody,Chemistry,,LabTest
lt_50959,50959,Macro Prolactin,Chemistry,,LabTest
lt_50967,50967,Phenytoin,Chemistry,,LabTest
lt_50995,50995,"Thyroxine (T4), Free",Chemistry,,LabTest
lt_51646,51646,Hemoglobin  F,Chemistry,,LabTest
lt_51706,51706,Problem Specimen,Chemistry,,LabTest
lt_51714,51714,Reflex HIV Confirmation,Chemistry,,LabTest
lt_51764,51764,EE7,Chemistry,,LabTest
lt_51769,51769,RUBIgGV,Chemistry,,LabTest
lt_51771,51771,unknown,Chemistry,,LabTest
lt_53145,53145,Anti-GBM Antibody,Chemistry,,LabTest
lt_50862,50862,Albumin,Chemistry,,LabTest
lt_50911,50911,"Creatine Kinase, MB Isoenzyme",Chemistry,,LabTest
lt_50969,50969,"Phenytoin, Percent Free",Chemistry,,LabTest
lt_51721,51721,Reverse T3,Chemistry,,LabTest
lt_51731,51731,Single Stranded DNA,Chemistry,,LabTest
lt_53132,53132,Absolute Lymphocyte Count,Chemistry,,LabTest
lt_50982,50982,Sex Hormone Binding Globulin,Chemistry,,LabTest
lt_51565,51565,Argon,Chemistry,,LabTest
lt_51746,51746,Transferrin Saturation,Chemistry,,LabTest
lt_50859,50859,"Acid Phosphatase, Non-Prostatic",Chemistry,,LabTest
lt_50878,50878,Asparate Aminotransferase (AST),Chemistry,,LabTest
lt_50912,50912,Creatinine,Chemistry,,LabTest
lt_50957,50957,Lithium,Chemistry,,LabTest
lt_50985,50985,Study Tubes,Chemistry,,LabTest
lt_50990,50990,Theophylline,Chemistry,,LabTest
lt_51006,51006,Urea Nitrogen,Chemistry,,LabTest
lt_51608,51608,DirLst,Chemistry,,LabTest
lt_51698,51698,No MD,Chemistry,,LabTest
lt_52546,52546,Creatinine,Chemistry,,LabTest
lt_50867,50867,Amylase,Chemistry,,LabTest
lt_50906,50906,"Cholesterol, LDL, Measured",Chemistry,,LabTest
lt_50939,50939,"Hepatitis B Core Antibody, IgM",Chemistry,,LabTest
lt_51003,51003,Troponin T,Chemistry,,LabTest
lt_51652,51652,High-Sensitivity CRP,Chemistry,,LabTest
lt_51675,51675,INR(PT),Chemistry,,LabTest
lt_51730,51730,Serum Folate,Chemistry,,LabTest
lt_51758,51758,Xylose,Chemistry,,LabTest
lt_53130,53130,4t,Chemistry,,LabTest
lt_50892,50892,CA-125,Chemistry,,LabTest
lt_50970,50970,Phosphate,Chemistry,,LabTest
lt_51556,51556,Anti-Microsomal Antibodies,Chemistry,,LabTest
lt_51574,51574,C1 Inhibitor,Chemistry,,LabTest
lt_51607,51607,"Dimeric Inhibin A, Maternal Screen",Chemistry,,LabTest
lt_51691,51691,MCV,Chemistry,,LabTest
lt_50875,50875,Anti-Parietal Cell Antibody,Chemistry,,LabTest
lt_51008,51008,Valproic Acid,Chemistry,,LabTest
lt_51570,51570,"Bilirubin, Neonatal, Indirect",Chemistry,,LabTest
lt_51616,51616,Epstein-Barr Virus IgG Ab Value,Chemistry,,LabTest
lt_51723,51723,Rubella,Chemistry,,LabTest
lt_51739,51739,Total CO2,Chemistry,,LabTest
lt_52642,52642,Troponin I,Chemistry,,LabTest
lt_53148,53148,Anti Hbe,Chemistry,,LabTest
lt_50891,50891,C4,Chemistry,,LabTest
lt_50943,50943,Hepatitis C Virus Antibody,Chemistry,,LabTest
lt_50947,50947,I,Chemistry,,LabTest
lt_51642,51642,Hemoglobin  A1,Chemistry,,LabTest
lt_51728,51728,Serum B12,Chemistry,,LabTest
lt_52535,52535,Chloride,Chemistry,,LabTest
lt_53135,53135,"Acid Phosphatase, Prostatic Fraction",Chemistry,,LabTest
lt_53151,53151,Anti-la,Chemistry,,LabTest
lt_50855,50855,Absolute Hemoglobin,Chemistry,,LabTest
lt_50919,50919,EDTA Hold,Chemistry,,LabTest
lt_50963,50963,NTproBNP,Chemistry,,LabTest
